位置: 数量
金山区: 5
宁德: 14
鄂尔多斯: 9
运城: 46
莱芜: 14
平凉: 73
(伯力县)电信: 1
西安: 656
防城港: 4
黄石: 4
金昌: 48
软银宽带: 1
锦州: 3
北美地区: 1
南平: 9
鸡西: 93
临沧: 5
鼓山前屿大世界网吧: 1
抚州: 9
天水: 427
百色: 55
太原: 340
安庆: 42
海口: 22
浙江: 239
常德: 2
汾阳市联通: 1
内江: 37
电信(CDMA全省共用出口): 3
荆门: 6
陇南: 13
移动宽带: 2
鄂州: 1
阳光2部网城(宜春学院门口): 2
(源城区)电信: 1
宁夏: 23
绥化: 154
鞍山: 4
凤城市联通: 2
怀化: 3
六安: 38
吉林: 1766
娄底: 56
玉溪: 2
遂宁: 18
长治: 110
明光: 2
哈尔滨工程大学: 4
商洛: 10
电信五里店IDC机房: 42
绵阳: 90
延边州敦化: 3
济源: 3
无锡: 38
蒲公英网络联通IDC机房: 1
来宾: 20
九江: 27
南昌: 98
辽源: 76
龙岩: 56
新时空网吧: 2
嘉峪关: 1
珠海: 9
联通漕河泾数据中心: 6
衡阳: 3
四川: 1888
移动GPRS: 1
东营: 11
银川: 11
山西: 1062
淮安: 6
安康: 153
潜江: 2
天威视讯: 3
深圳: 150
CDMA(全省通用): 1
移动通信有限公司: 2
铜川: 16
(安岳县简阳市)电信: 1
沧州: 78
肇庆: 15
中国平煤神马集团: 1
信阳: 21
河池: 55
(丰县沛县): 1
梅州: 4
渝北区: 18
电信LTE实验网全省共用出口: 4
廊坊: 108
华数宽带: 1
南宁: 284
随州: 4
兴安盟乌兰浩特: 2
吉安: 27
金华: 9
南充: 117
汕尾: 2
九仓电讯有限公司: 1
驻马店: 21
职业技术学院: 2
移动GSMTD-SCDMALTE共用出口: 26
迅雷离线服务器: 1
CZ88 NET: 6
蚌埠: 3
衡水: 16
长春: 903
巴中: 14
桂林: 239
赣州: 32
张掖: 338
钦州: 39
